ORIGIN_TABLE,customerNumber,customerName,contactLastName,contactFirstName,phone,addressLine1,addressLine2,city,state,postalCode,country,salesRepEmployeeNumber,creditLimit,employeeNumber,lastName,firstName,extension,email,officeCode,reportsTo,jobTitle,territory,orderNumber,productCode,quantityOrdered,priceEach,orderLineNumber,orderDate,requiredDate,shippedDate,status,comments,checkNumber,paymentDate,amount,productLine,textDescription,htmlDescription,image,productName,productScale,productVendor,productDescription,quantityInStock,buyPrice,MSRP
customers,211.0,"King Kong Collectables, Co.",Gao,Mike,+852 2251 1555,Bank of China Tower,1 Garden Road,Central Hong Kong,N/A,unavailable,Hong Kong,1621.0,58600.00,0.0,N/A,N/A,N/A,N/A,unavailable,1102.0,N/A,N/A,0.0,unavailable,Hidden,N/A,0.0,N/A,N/A,N/A,N/A,None,unavailable,N/A,N/A,N/A,None,None,N/A,N/A,N/A,N/A,None,Hidden,N/A,N/A
customers,216.0,Enaco Distributors,Saavedra,Eduardo ,(93) 203 4555,"Rambla de Cataluña, 23",N/A,Barcelona,N/A,08022,Spain,1702.0,60300.00,0.0,N/A,N/A,N/A,N/A,unavailable,1102.0,N/A,N/A,0.0,unavailable,Hidden,N/A,0.0,N/A,N/A,N/A,N/A,None,unavailable,N/A,N/A,N/A,None,None,N/A,N/A,N/A,N/A,None,Hidden,N/A,N/A
customers,219.0,Boards & Toys Co.,Young,Mary,3105552373,4097 Douglas Av.,N/A,Glendale,CA,92561,USA,1166.0,11000.00,0.0,N/A,N/A,N/A,N/A,unavailable,1102.0,N/A,N/A,0.0,unavailable,Hidden,N/A,0.0,N/A,N/A,N/A,N/A,None,unavailable,N/A,N/A,N/A,None,None,N/A,N/A,N/A,N/A,None,Hidden,N/A,N/A
customers,223.0,Natürlich Autos,Kloss,Horst ,0372-555188,Taucherstraße 10,N/A,Cunewalde,N/A,01307,Germany,0.0,0.00,0.0,N/A,N/A,N/A,N/A,unavailable,1102.0,N/A,N/A,0.0,unavailable,Hidden,N/A,0.0,N/A,N/A,N/A,N/A,None,unavailable,N/A,N/A,N/A,None,None,N/A,N/A,N/A,N/A,None,Hidden,N/A,N/A
customers,227.0,Heintze Collectables,Ibsen,Palle,86 21 3555,Smagsloget 45,N/A,Århus,N/A,8200,Denmark,1401.0,120800.00,0.0,N/A,N/A,N/A,N/A,unavailable,1102.0,N/A,N/A,0.0,unavailable,Hidden,N/A,0.0,N/A,N/A,N/A,N/A,None,unavailable,N/A,N/A,N/A,None,None,N/A,N/A,N/A,N/A,None,Hidden,N/A,N/A
customers,233.0,Québec Home Shopping Network,Fresnière,Jean ,(514) 555-8054,43 rue St. Laurent,N/A,Montréal,Québec,H1J 1C3,Canada,1286.0,48700.00,0.0,N/A,N/A,N/A,N/A,unavailable,1102.0,N/A,N/A,0.0,unavailable,Hidden,N/A,0.0,N/A,N/A,N/A,N/A,None,unavailable,N/A,N/A,N/A,None,None,N/A,N/A,N/A,N/A,None,Hidden,N/A,N/A
customers,237.0,ANG Resellers,Camino,Alejandra ,(91) 745 6555,"Gran Vía, 1",N/A,Madrid,N/A,28001,Spain,0.0,0.00,0.0,N/A,N/A,N/A,N/A,unavailable,1102.0,N/A,N/A,0.0,unavailable,Hidden,N/A,0.0,N/A,N/A,N/A,N/A,None,unavailable,N/A,N/A,N/A,None,None,N/A,N/A,N/A,N/A,None,Hidden,N/A,N/A
customers,239.0,Collectable Mini Designs Co.,Thompson,Valarie,7605558146,361 Furth Circle,N/A,San Diego,CA,91217,USA,1166.0,105000.00,0.0,N/A,N/A,N/A,N/A,unavailable,1102.0,N/A,N/A,0.0,unavailable,Hidden,N/A,0.0,N/A,N/A,N/A,N/A,None,unavailable,N/A,N/A,N/A,None,None,N/A,N/A,N/A,N/A,None,Hidden,N/A,N/A
customers,240.0,giftsbymail.co.uk,Bennett,Helen ,(198) 555-8888,Garden House,Crowther Way 23,Cowes,Isle of Wight,PO31 7PJ,UK,1501.0,93900.00,0.0,N/A,N/A,N/A,N/A,unavailable,1102.0,N/A,N/A,0.0,unavailable,Hidden,N/A,0.0,N/A,N/A,N/A,N/A,None,unavailable,N/A,N/A,N/A,None,None,N/A,N/A,N/A,N/A,None,Hidden,N/A,N/A
customers,242.0,Alpha Cognac,Roulet,Annette ,61.77.6555,1 rue Alsace-Lorraine,N/A,Toulouse,N/A,31000,France,1370.0,61100.00,0.0,N/A,N/A,N/A,N/A,unavailable,1102.0,N/A,N/A,0.0,unavailable,Hidden,N/A,0.0,N/A,N/A,N/A,N/A,None,unavailable,N/A,N/A,N/A,None,None,N/A,N/A,N/A,N/A,None,Hidden,N/A,N/A
customers,247.0,Messner Shopping Network,Messner,Renate ,069-0555984,Magazinweg 7,N/A,Frankfurt,N/A,60528,Germany,0.0,0.00,0.0,N/A,N/A,N/A,N/A,unavailable,1102.0,N/A,N/A,0.0,unavailable,Hidden,N/A,0.0,N/A,N/A,N/A,N/A,None,unavailable,N/A,N/A,N/A,None,None,N/A,N/A,N/A,N/A,None,Hidden,N/A,N/A
customers,249.0,Amica Models & Co.,Accorti,Paolo ,011-4988555,Via Monte Bianco 34,N/A,Torino,N/A,10100,Italy,1401.0,113000.00,0.0,N/A,N/A,N/A,N/A,unavailable,1102.0,N/A,N/A,0.0,unavailable,Hidden,N/A,0.0,N/A,N/A,N/A,N/A,None,unavailable,N/A,N/A,N/A,None,None,N/A,N/A,N/A,N/A,None,Hidden,N/A,N/A
customers,250.0,Lyon Souveniers,Da Silva,Daniel,+33 1 46 62 7555,27 rue du Colonel Pierre Avia,N/A,Paris,N/A,75508,France,1337.0,68100.00,0.0,N/A,N/A,N/A,N/A,unavailable,1102.0,N/A,N/A,0.0,unavailable,Hidden,N/A,0.0,N/A,N/A,N/A,N/A,None,unavailable,N/A,N/A,N/A,None,None,N/A,N/A,N/A,N/A,None,Hidden,N/A,N/A
customers,256.0,Auto Associés & Cie.,Tonini,Daniel ,30.59.8555,"67, avenue de l'Europe",N/A,Versailles,N/A,78000,France,1370.0,77900.00,0.0,N/A,N/A,N/A,N/A,unavailable,1102.0,N/A,N/A,0.0,unavailable,Hidden,N/A,0.0,N/A,N/A,N/A,N/A,None,unavailable,N/A,N/A,N/A,None,None,N/A,N/A,N/A,N/A,None,Hidden,N/A,N/A
customers,259.0,"Toms Spezialitäten, Ltd",Pfalzheim,Henriette ,0221-5554327,Mehrheimerstr. 369,N/A,Köln,N/A,50739,Germany,1504.0,120400.00,0.0,N/A,N/A,N/A,N/A,unavailable,1102.0,N/A,N/A,0.0,unavailable,Hidden,N/A,0.0,N/A,N/A,N/A,N/A,None,unavailable,N/A,N/A,N/A,None,None,N/A,N/A,N/A,N/A,None,Hidden,N/A,N/A
customers,260.0,"Royal Canadian Collectables, Ltd.",Lincoln,Elizabeth ,(604) 555-4555,23 Tsawassen Blvd.,N/A,Tsawassen,BC,T2F 8M4,Canada,1323.0,89600.00,0.0,N/A,N/A,N/A,N/A,unavailable,1102.0,N/A,N/A,0.0,unavailable,Hidden,N/A,0.0,N/A,N/A,N/A,N/A,None,unavailable,N/A,N/A,N/A,None,None,N/A,N/A,N/A,N/A,None,Hidden,N/A,N/A
customers,273.0,"Franken Gifts, Co",Franken,Peter ,089-0877555,Berliner Platz 43,N/A,München,N/A,80805,Germany,0.0,0.00,0.0,N/A,N/A,N/A,N/A,unavailable,1102.0,N/A,N/A,0.0,unavailable,Hidden,N/A,0.0,N/A,N/A,N/A,N/A,None,unavailable,N/A,N/A,N/A,None,None,N/A,N/A,N/A,N/A,None,Hidden,N/A,N/A
customers,276.0,"Anna's Decorations, Ltd",O'Hara,Anna,02 9936 8555,201 Miller Street,Level 15,North Sydney,NSW,2060,Australia,1611.0,107800.00,0.0,N/A,N/A,N/A,N/A,unavailable,1102.0,N/A,N/A,0.0,unavailable,Hidden,N/A,0.0,N/A,N/A,N/A,N/A,None,unavailable,N/A,N/A,N/A,None,None,N/A,N/A,N/A,N/A,None,Hidden,N/A,N/A
customers,278.0,Rovelli Gifts,Rovelli,Giovanni ,035-640555,Via Ludovico il Moro 22,N/A,Bergamo,N/A,24100,Italy,1401.0,119600.00,0.0,N/A,N/A,N/A,N/A,unavailable,1102.0,N/A,N/A,0.0,unavailable,Hidden,N/A,0.0,N/A,N/A,N/A,N/A,None,unavailable,N/A,N/A,N/A,None,None,N/A,N/A,N/A,N/A,None,Hidden,N/A,N/A
customers,282.0,Souveniers And Things Co.,Huxley,Adrian,+61 2 9495 8555,Monitor Money Building,815 Pacific Hwy,Chatswood,NSW,2067,Australia,1611.0,93300.00,0.0,N/A,N/A,N/A,N/A,unavailable,1102.0,N/A,N/A,0.0,unavailable,Hidden,N/A,0.0,N/A,N/A,N/A,N/A,None,unavailable,N/A,N/A,N/A,None,None,N/A,N/A,N/A,N/A,None,Hidden,N/A,N/A
customers,286.0,Marta's Replicas Co.,Hernandez,Marta,6175558555,39323 Spinnaker Dr.,N/A,Cambridge,MA,51247,USA,1216.0,123700.00,0.0,N/A,N/A,N/A,N/A,unavailable,1102.0,N/A,N/A,0.0,unavailable,Hidden,N/A,0.0,N/A,N/A,N/A,N/A,None,unavailable,N/A,N/A,N/A,None,None,N/A,N/A,N/A,N/A,None,Hidden,N/A,N/A
customers,293.0,BG&E Collectables,Harrison,Ed,+41 26 425 50 01,Rte des Arsenaux 41 ,N/A,Fribourg,N/A,1700,Switzerland,0.0,0.00,0.0,N/A,N/A,N/A,N/A,unavailable,1102.0,N/A,N/A,0.0,unavailable,Hidden,N/A,0.0,N/A,N/A,N/A,N/A,None,unavailable,N/A,N/A,N/A,None,None,N/A,N/A,N/A,N/A,None,Hidden,N/A,N/A
customers,298.0,"Vida Sport, Ltd",Holz,Mihael,0897-034555,Grenzacherweg 237,N/A,Genève,N/A,1203,Switzerland,1702.0,141300.00,0.0,N/A,N/A,N/A,N/A,unavailable,1102.0,N/A,N/A,0.0,unavailable,Hidden,N/A,0.0,N/A,N/A,N/A,N/A,None,unavailable,N/A,N/A,N/A,None,None,N/A,N/A,N/A,N/A,None,Hidden,N/A,N/A
customers,299.0,"Norway Gifts By Mail, Co.",Klaeboe,Jan,+47 2212 1555,Drammensveien 126A,PB 211 Sentrum,Oslo,N/A,N 0106,Norway  ,1504.0,95100.00,0.0,N/A,N/A,N/A,N/A,unavailable,1102.0,N/A,N/A,0.0,unavailable,Hidden,N/A,0.0,N/A,N/A,N/A,N/A,None,unavailable,N/A,N/A,N/A,None,None,N/A,N/A,N/A,N/A,None,Hidden,N/A,N/A
customers,303.0,Schuyler Imports,Schuyler,Bradley,+31 20 491 9555,Kingsfordweg 151,N/A,Amsterdam,N/A,1043 GR,Netherlands,0.0,0.00,0.0,N/A,N/A,N/A,N/A,unavailable,1102.0,N/A,N/A,0.0,unavailable,Hidden,N/A,0.0,N/A,N/A,N/A,N/A,None,unavailable,N/A,N/A,N/A,None,None,N/A,N/A,N/A,N/A,None,Hidden,N/A,N/A
customers,307.0,Der Hund Imports,Andersen,Mel,030-0074555,Obere Str. 57,N/A,Berlin,N/A,12209,Germany,0.0,0.00,0.0,N/A,N/A,N/A,N/A,unavailable,1102.0,N/A,N/A,0.0,unavailable,Hidden,N/A,0.0,N/A,N/A,N/A,N/A,None,unavailable,N/A,N/A,N/A,None,None,N/A,N/A,N/A,N/A,None,Hidden,N/A,N/A
